"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1839661708371189957","Fri Sep 27 13:41:45 +0000 2024","3","Bangsa ini patut kuatir jika Mas Gibran sampai tgl 20 Oktober tidak jelas keberadaanya maka serah terima jabatan Presiden/Wapres bisa gagal. Sayang jika kita harus kehilangan kesempatan punya wapres yg muda cerdas santun dan ganteng https://t.co/7wqvgfYHnj","1839661708371189957","https://pbs.twimg.com/media/GYfKkvgaQAAjpjU.jpg","","in","Solo-Samarinda INDONESIA","0","0","0","https://x.com/AidulFa/status/1839661708371189957","873663181","AidulFa"
"1839660557164740903","Fri Sep 27 13:37:10 +0000 2024","1344",". . Laahhh .. Justru ini yang Guwa tunggu-tunggu Laporan Polisi supaya Polisi Menyelidiki Kalau udah ada laporan Polisi .. Berarti nanti semua pihak bakal DIPANGGIL Baik itu Roy Suryo .. Gibran Rakabuming Raka BAHKAN si FUFUFAFA nya sendiri Nah buat mencari si FUFUFAFA ..","1839660557164740903","","","in","Bermuda Triangle","15","154","379","https://x.com/StefanAntonio__/status/1839660557164740903","1529491450605768704","StefanAntonio__"
"1839628873908306415","Fri Sep 27 12:53:08 +0000 2024","1","@AlnilamOmar Bakal seru nih nunggu mas Gibran alias Samsul alias Slamet pake baju Fufufafa ","1839649475729457343","","AlnilamOmar","in","","0","0","0","https://x.com/SusiEncus2/status/1839649475729457343","1626382095693275136","SusiEncus2"
"1839578046518722958","Fri Sep 27 08:39:33 +0000 2024","22","@mas_veel @gibran_tweet Ambisi yang ngga masuk akal mereka menuding keluarga Jokowi Dinasti ini malah lebih parah dari Dinasti ","1839585659087962411","","mas_veel","in","Bali, Indonesia","1","5","2","https://x.com/DedynurPalakka/status/1839585659087962411","1003546165105704962","DedynurPalakka"
"1839578046518722958","Fri Sep 27 08:38:02 +0000 2024","26","@DedynurPalakka @gibran_tweet Gerombolan kalah pilpres mendadak rela bloon demi sebuah ambisi","1839585275993067630","","DedynurPalakka","in","Jakarta Pusat, DKI Jakarta","0","5","2","https://x.com/mas_veel/status/1839585275993067630","1709123175450288128","mas_veel"
"1839492471325438359","Fri Sep 27 08:36:26 +0000 2024","1","@RajaJuliAntoni @jokowi Semoga Pak Prabowo dan Mas Gibran bisa seperti ini juga","1839584873524416699","","RajaJuliAntoni","in","","0","0","0","https://x.com/GerardusNeno/status/1839584873524416699","1470570991","GerardusNeno"
"1839460329820168676","Fri Sep 27 08:34:55 +0000 2024","0","@are_inismyname @prabowo @Ndons_Back @Bank_Joee_ @BANGSAygSUJUD @99propaganda @DedynurPalakka @AndreasSolusi @DarekaRendy @IrawanRommi @Kimberley_PS08 @florieliciouss Saya komentarin fufufafa a.k.a. gibran. Soal prabowo walau gak milih dia tetep saya hormati dan memilihi harapan ke dia. Cuma saya gak rela punya wapres lebih tolol dari saya yg warga biasa mba.","1839584493600203031","","are_inismyname","in","","0","0","0","https://x.com/fieldworker19/status/1839584493600203031","1421266916333613056","fieldworker19"
"1839492321777438973","Fri Sep 27 08:32:44 +0000 2024","0","@erhaiban @PartaiSocmed @lordfaiq Yo ncen bener kok. Dari Pak Maruf ke Mas gibran","1839583942971883582","","erhaiban","in","","0","1","0","https://x.com/prasetyoadi44/status/1839583942971883582","2418970836","prasetyoadi44"
"1839492321777438973","Fri Sep 27 08:28:17 +0000 2024","0","@PartaiSocmed Jelas di gantilah..dari pak Makruf ganti Mas Gibran..klu ini A100..","1839582824317194507","","PartaiSocmed","in","","0","0","0","https://x.com/Heni40208479/status/1839582824317194507","1467823021432111104","Heni40208479"
"1839571769763545336","Fri Sep 27 08:10:48 +0000 2024","0","@geloraco Wah armando ini kok selalu over akting segitu nya membela junjungannya.Sdg para pakar IT saja memberikan penjelasan 99.9 % itu akun Gibran .. Kok msh dibela belain jo paijo","1839578424001933735","","geloraco","in","Kudus, Jateng, indonesia","0","0","0","https://x.com/MGhani39013315/status/1839578424001933735","1651569114257977345","MGhani39013315"
"1839492321777438973","Fri Sep 27 07:54:45 +0000 2024","0","@PartaiSocmed kan memang diganti yak. dari Kyai Maaruf ke mas Gibran","1839574384312537334","","PartaiSocmed","in","Samarinda","0","0","0","https://x.com/Fabrxss/status/1839574384312537334","803959778","Fabrxss"
"1839157174913871988","Fri Sep 27 07:35:17 +0000 2024","0","@DedynurPalakka Dalam pemilihan lgsg baru terjadi dapat dinilai 58 persen lebih...masa enggak cocok justru krn mrk rendah hati makanya rakyat pilih...tgl 20 Oktober 2024 tinggal hitung hari doa kami sehat selalu ya pak Prabowo dan mas Gibran ️🇮🇩️🇮🇩","1839569487273832504","","DedynurPalakka","in","","0","0","0","https://x.com/martin_huta/status/1839569487273832504","1419593010015215616","martin_huta"
"1839190011620765848","Fri Sep 27 07:31:56 +0000 2024","0","@PelatihT1dur Sepertinya Mas @gibran_tweet ngantuk iya ???","1839568641932562899","","PelatihT1dur","in","","0","0","0","https://x.com/BryokAceh/status/1839568641932562899","719084961039421440","BryokAceh"
"1839492321777438973","Fri Sep 27 07:10:36 +0000 2024","0","@PartaiSocmed Dari Siapa ke Siapa tum? Apa dari Mas Gibran ke Mbak Puan?","1839563274628870257","","PartaiSocmed","in","SCBD","0","0","0","https://x.com/vinncall/status/1839563274628870257","1803106913774866433","vinncall"
"1839492321777438973","Fri Sep 27 07:05:29 +0000 2024","0","@PartaiSocmed Hahaha pada ke gocek ya iya diganti jadi wapres Ma'ruf amin ke mas gibran iyaa gasi tum?","1839561986981405004","","PartaiSocmed","in","bogor hujan","0","0","0","https://x.com/Hpriyna/status/1839561986981405004","1220063447469060097","Hpriyna"
